id,word,meaning,pos,level,dictionaryType,created_at,,,
1,가게,store,명사,A,koen,,,,
2,가격,price,명사,B,koen,,,,
3,가구,household,명사,C,koen,,,,
4,가구,furniture,명사,B,koen,,,,
5,가까워지다,Get closer,동사,B,koen,,,,
6,가까이,near,부사,B,koen,,,,
7,가까이,near,명사,B,koen,,,,
8,가깝다,be near,형용사,A,koen,,,,
9,가꾸다,cultivate,동사,B,koen,,,,
10,가끔,sometimes,부사,A,koen,,,,
11,가난,poverty,명사,C,koen,,,,
12,가난하다,poor,형용사,B,koen,,,,
13,가늘다,thin,형용사,B,koen,,,,
14,가능,possible,명사,C,koen,,,,
15,가능성,possibility,명사,B,koen,,,,
16,가능하다,possible,형용사,B,koen,,,,
17,가능해지다,become possible,동사,C,koen,,,,
18,가다,go,동사,A,koen,,,,
19,가다,go on,보조 용언,A,koen,,,,
20,가득,full,부사,B,koen,,,,
21,가득하다,full,형용사,B,koen,,,,
22,가득히,chock,부사,C,koen,,,,
23,가라앉다,sink,동사,C,koen,,,,
24,가려지다,be covered,동사,C,koen,,,,
25,가령,chamberlain,부사,C,koen,,,,
26,가로,width,명사,B,koen,,,,
27,가로등,streetlights,명사,C,koen,,,,
28,가로막다,Block,동사,C,koen,,,,
29,가로수,colonnade,명사,C,koen,,,,
30,가루,powder,명사,B,koen,,,,
31,가르다,divide,동사,C,koen,,,,
32,가르치다,teach,동사,A,koen,,,,
33,가르침,teaching,명사,C,koen,,,,
34,가리다,screen,동사,B,koen,,,,
35,가리다,distinguish,동사,B,koen,,,,
36,가리키다,indicate,동사,B,koen,,,,
37,가만,Stay still,부사,C,koen,,,,
38,가만있다,Stay still,동사,C,koen,,,,
39,가만히,Stay still,부사,B,koen,,,,
40,가뭄,drought,명사,C,koen,,,,
41,가방,bag,명사,A,koen,,,,
42,가볍다,It's light,형용사,A,koen,,,,
43,가사,lyrics,명사,C,koen,,,,
44,가상,pseudomorph,명사,C,koen,,,,
45,가수,singer,명사,A,koen,,,,
46,가스,gas,명사,B,koen,,,,
47,가슴,chest,명사,A,koen,,,,
48,가슴속,breast,명사,B,koen,,,,
49,가요,song,명사,B,koen,,,,
50,가운데,middle,명사,A,koen,,,,
51,가위,scissors,명사,B,koen,,,,
52,가을,autumn,명사,A,koen,,,,
53,가이드,guide,명사,B,koen,,,,
54,가입,accession,명사,C,koen,,,,
55,가입자,Subscriber,명사,C,koen,,,,
56,가입하다,Sign up,동사,C,koen,,,,
57,가장,most,부사,A,koen,,,,
58,가장,head of household,명사,C,koen,,,,
59,가정,home,명사,B,koen,,,,
60,가정,supposition,명사,C,koen,,,,
61,가정교사,tutor,명사,C,koen,,,,
62,가져가다,Take it,동사,B,koen,,,,
63,가져다주다,Bring it,동사,B,koen,,,,
64,가져오다,Bring,동사,A,koen,,,,
65,가족,family,명사,A,koen,,,,
66,가죽,leather,명사,B,koen,,,,
67,가지,egg plant,명사,B,koen,,,,
68,가지,kind,의존 명사,B,koen,,,,
69,가지다,have,동사,A,koen,,,,
70,가지다,have,보조 용언,A,koen,,,,
71,가짜,FALSE,명사,B,koen,,,,
72,가치,value,명사,C,koen,,,,
73,가치관,values,명사,C,koen,,,,
74,가톨릭,Catholic,명사,C,koen,,,,
75,가하다,inflict,동사,C,koen,,,,
76,각,each,관형사,B,koen,,,,
77,각각,Each,부사,B,koen,,,,
78,각각,Each,명사,B,koen,,,,
79,각국,Each country,명사,B,koen,,,,
80,각기,each,부사,C,koen,,,,
81,각오,determination,명사,C,koen,,,,
82,각자,each,명사,B,koen,,,,
83,각자,each,부사,B,koen,,,,
84,각종,Various,명사,B,koen,,,,
85,간,seasoning,명사,C,koen,,,,
86,간,liver,명사,C,koen,,,,
87,간,between,의존 명사,B,koen,,,,
88,간격,interval,명사,C,koen,,,,
89,간단하다,It's simple,형용사,B,koen,,,,
90,간단히,simply,부사,B,koen,,,,
91,간부,cadre,명사,C,koen,,,,
92,간섭,interference,명사,C,koen,,,,
93,간식,snack,명사,B,koen,,,,
94,간신히,barely,부사,C,koen,,,,
95,간장,soy sauce,명사,B,koen,,,,
96,간접,indirect,명사,C,koen,,,,
97,간접적,Indirect,명사,C,koen,,,,
98,간판,signboard,명사,C,koen,,,,
99,간편하다,It's easy,형용사,C,koen,,,,
100,간호,Nursing,명사,C,koen,,,,
101,간호사,nurse,명사,A,koen,,,,
102,간혹,Sometimes,부사,C,koen,,,,
103,갇히다,be confined,동사,C,koen,,,,
104,갈다,change,동사,B,koen,,,,
105,갈다,change,동사,B,koen,,,,
106,갈등,conflict,명사,C,koen,,,,
107,갈비,rib,명사,A,koen,,,,
108,갈비탕,galbitang,명사,B,koen,,,,
109,갈색,brown,명사,B,koen,,,,
110,갈수록,As time goes by,부사,C,koen,,,,
111,갈아입다,Change clothes,동사,B,koen,,,,
112,갈아타다,Transfer,동사,B,koen,,,,
113,갈증,thirst,명사,C,koen,,,,
114,감,persimmon,명사,B,koen,,,,
115,감,persimmon,명사,C,koen,,,,
116,감각,sense,명사,C,koen,,,,
117,감기,cold,명사,A,koen,,,,
118,감다,close,동사,B,koen,,,,
119,감다,wind,동사,C,koen,,,,
120,감독,supervision,명사,C,koen,,,,
121,감동,moved,명사,B,koen,,,,
122,감동적,touching,명사,C,koen,,,,
123,감사,thanks,명사,A,koen,,,,
124,감사하다,thankful,형용사,A,koen,,,,
125,감사하다,appreciate,동사,A,koen,,,,
126,감상,appreciation,명사,B,koen,,,,
127,감상하다,Appreciate,동사,B,koen,,,,
128,감소,decrease,명사,C,koen,,,,
129,감소되다,Reduced,동사,C,koen,,,,
130,감소하다,decrease,동사,C,koen,,,,
131,감수성,sensibility,명사,C,koen,,,,
132,감싸다,tuck,동사,C,koen,,,,
133,감옥,prison,명사,C,koen,,,,
134,감자,potato,명사,B,koen,,,,
135,감정,emotion,명사,B,koen,,,,
136,감정적,emotional,명사,C,koen,,,,
137,감추다,hide,동사,C,koen,,,,
138,감히,Dare,부사,C,koen,,,,
139,갑,the former,명사,C,koen,,,,
140,갑자기,suddenly,부사,A,koen,,,,
141,갑작스럽다,It's sudden,형용사,C,koen,,,,
142,값,value,명사,A,koen,,,,
143,값싸다,It's cheap,형용사,C,koen,,,,
144,강,river,명사,A,koen,,,,
145,강남,Gangnam,명사,C,koen,,,,
146,강당,auditorium,명사,B,koen,,,,
147,강도,robbery,명사,C,koen,,,,
148,강도,robbery,명사,B,koen,,,,
149,강력하다,Strong,형용사,C,koen,,,,
150,강력히,Strongly,부사,C,koen,,,,
151,강렬하다,Intense,형용사,C,koen,,,,
152,강물,river,명사,B,koen,,,,
153,강변,riverside,명사,C,koen,,,,
154,강북,Gangbuk,명사,C,koen,,,,
155,강사,instructor,명사,C,koen,,,,
156,강수량,Precipitation,명사,C,koen,,,,
157,강아지,puppy,명사,B,koen,,,,
158,강요하다,Force,동사,C,koen,,,,
159,강원도,Gangwon-do,고유 명사,B,koen,,,,
