id,word,meaning,pos,level,dictionaryType,created_at
1,a,하나,indefinite article,a1,enko,2025-08-04 15:39
2,abandon,버리다,verb,b2,enko,2025-08-04 15:39
3,ability,능력,noun,a2,enko,2025-08-04 15:39
4,able,할 수 있는,adjective,a2,enko,2025-08-04 15:39
5,abolish,폐하다,verb,c1,enko,2025-08-04 15:39
6,abortion,유산,noun,c1,enko,2025-08-04 15:39
7,about,대략,adverb,a1,enko,2025-08-04 15:39
8,about,~에 대한,preposition,a1,enko,2025-08-04 15:39
9,above,~ 위에,adverb,a1,enko,2025-08-04 15:39
10,above,~보다 위에,preposition,a1,enko,2025-08-04 15:39
11,abroad,해외에서,adverb,a2,enko,2025-08-04 15:39
12,absence,결석,noun,c1,enko,2025-08-04 15:39
13,absent,결석한,adjective,c1,enko,2025-08-04 15:39
14,absolute,순수한,adjective,b2,enko,2025-08-04 15:39
15,absolutely,전적으로,adverb,b1,enko,2025-08-04 15:39
16,absorb,흡수하다,verb,b2,enko,2025-08-04 15:39
17,abstract,추상적인,adjective,b2,enko,2025-08-04 15:39
18,absurd,터무니없는,adjective,c1,enko,2025-08-04 15:39
19,abundance,풍부,noun,c1,enko,2025-08-04 15:39
20,abuse,남용,noun,c1,enko,2025-08-04 15:39
21,abuse,남용하다,verb,c1,enko,2025-08-04 15:39
22,academic,학문적인,adjective,b1,enko,2025-08-04 15:39
23,academic,학자,noun,b2,enko,2025-08-04 15:39
24,academy,학원,noun,c1,enko,2025-08-04 15:39
25,accelerate,가속하다,verb,c1,enko,2025-08-04 15:39
26,accent,악센트,noun,b2,enko,2025-08-04 15:39
27,accept,수용하다,verb,a2,enko,2025-08-04 15:39
28,acceptable,수용 가능,adjective,b2,enko,2025-08-04 15:39
29,acceptance,수락,noun,c1,enko,2025-08-04 15:39
30,access,입장,noun,b1,enko,2025-08-04 15:39
31,access,접근하다,verb,b1,enko,2025-08-04 15:39
32,accessible,얻기 쉬운,adjective,c1,enko,2025-08-04 15:39
33,accident,사고,noun,a2,enko,2025-08-04 15:39
34,accidentally,우연히,adverb,b2,enko,2025-08-04 15:39
35,accommodate,수용하다,verb,b2,enko,2025-08-04 15:39
36,accommodation,숙소,noun,b1,enko,2025-08-04 15:39
37,accompany,따르게 하다,verb,b2,enko,2025-08-04 15:39
38,accomplish,성취하다,verb,b2,enko,2025-08-04 15:39
39,accomplishment,완수,noun,c1,enko,2025-08-04 15:39
40,accordance,일치,noun,c1,enko,2025-08-04 15:39
41,according to,~에 따르면,preposition,a2,enko,2025-08-04 15:39
42,accordingly,따라서,adverb,c1,enko,2025-08-04 15:39
43,account,계정,noun,b1,enko,2025-08-04 15:39
44,account,설명하다,verb,b2,enko,2025-08-04 15:39
45,accountability,책임,noun,c1,enko,2025-08-04 15:39
46,accountable,책임감 있는,adjective,c1,enko,2025-08-04 15:39
47,accountant,회계사,noun,b2,enko,2025-08-04 15:39
48,accumulate,모으다,verb,c1,enko,2025-08-04 15:39
49,accumulation,축적,noun,c1,enko,2025-08-04 15:39
50,accuracy,정확성,noun,b2,enko,2025-08-04 15:39
51,accurate,정확한,adjective,b2,enko,2025-08-04 15:39
52,accurately,정확히,adverb,b2,enko,2025-08-04 15:39
53,accusation,고발,noun,c1,enko,2025-08-04 15:39
54,accuse,고발하다,verb,b2,enko,2025-08-04 15:39
55,accused,고발 당한,noun,c1,enko,2025-08-04 15:39
56,achieve,성취하다,verb,a2,enko,2025-08-04 15:39
57,achievement,성취,noun,b1,enko,2025-08-04 15:39
58,acid,"산성의, 신랄한",adjective,c1,enko,2025-08-04 15:39
59,acid,산,noun,b2,enko,2025-08-04 15:39
60,acknowledge,인정하다,verb,b2,enko,2025-08-04 15:39
61,acquire,습득하다,verb,b2,enko,2025-08-04 15:39
62,acquisition,인수,noun,c1,enko,2025-08-04 15:39
63,acre,에이커,noun,c1,enko,2025-08-04 15:39
64,across,가로질러,adverb,a1,enko,2025-08-04 15:39
65,across,"~을 가로질러, ~건너편에",preposition,a1,enko,2025-08-04 15:39
66,act,행동,noun,b1,enko,2025-08-04 15:39
67,act,"행동하다, 연기하다, 작용하다",verb,a2,enko,2025-08-04 15:39
68,action,행동,noun,a1,enko,2025-08-04 15:39
69,activate,활성화하다,verb,b2,enko,2025-08-04 15:39
70,activation,활성화,noun,c1,enko,2025-08-04 15:39
71,active,활동적인,adjective,a2,enko,2025-08-04 15:39
72,activist,활동가,noun,c1,enko,2025-08-04 15:39
73,activity,활동,noun,a1,enko,2025-08-04 15:39
74,actor,배우,noun,a1,enko,2025-08-04 15:39
75,actress,여배우,noun,a1,enko,2025-08-04 15:39
76,actual,실제,adjective,b2,enko,2025-08-04 15:39
77,actually,실제로,adverb,a2,enko,2025-08-04 15:39
78,acute,심각한,adjective,c1,enko,2025-08-04 15:39
79,ad,광고,noun,b1,enko,2025-08-04 15:39
80,adapt,적응하다,verb,b2,enko,2025-08-04 15:39
81,adaptation,적응,noun,c1,enko,2025-08-04 15:39
82,add,추가하다,verb,a1,enko,2025-08-04 15:39
83,addiction,탐닉,noun,b2,enko,2025-08-04 15:39
84,addition,덧셈,noun,b1,enko,2025-08-04 15:39
85,additional,추가의,adjective,b2,enko,2025-08-04 15:39
86,additionally,또한,adverb,b2,enko,2025-08-04 15:39
87,address,주소,noun,a1,enko,2025-08-04 15:39
88,address,주소,verb,b2,enko,2025-08-04 15:39
89,adequate,적절한,adjective,b2,enko,2025-08-04 15:39
90,adequately,적절하게,adverb,b2,enko,2025-08-04 15:39
91,adhere,고수하다,verb,c1,enko,2025-08-04 15:39
92,adjacent,인접한,adjective,c1,enko,2025-08-04 15:39
93,adjust,조정하다,verb,b2,enko,2025-08-04 15:39
94,adjustment,조정,noun,c1,enko,2025-08-04 15:39
95,administer,관리하다,verb,c1,enko,2025-08-04 15:39
96,administration,관리,noun,b2,enko,2025-08-04 15:39
97,administrative,행정,adjective,c1,enko,2025-08-04 15:39
98,administrator,관리자,noun,c1,enko,2025-08-04 15:39
99,admire,존경하다,verb,b1,enko,2025-08-04 15:39
100,admission,가입,noun,c1,enko,2025-08-04 15:39
101,admit,인정하다,verb,b1,enko,2025-08-04 15:39
102,adolescent,한창 젊은,noun,c1,enko,2025-08-04 15:39
103,adopt,입양하다,verb,b2,enko,2025-08-04 15:39
104,adoption,양자,noun,c1,enko,2025-08-04 15:39
105,adult,성인,adjective,a2,enko,2025-08-04 15:39
106,adult,"성인의, 성인용의",noun,a1,enko,2025-08-04 15:39
107,advance,전진,adjective,b2,enko,2025-08-04 15:39
108,advance,"전진하다, 나아가다, 진보시키다",noun,b2,enko,2025-08-04 15:39
109,advance,"사전의, 선불의, 앞선",verb,b2,enko,2025-08-04 15:39
110,advanced,고급의,adjective,b1,enko,2025-08-04 15:39
111,advantage,이점,noun,a2,enko,2025-08-04 15:39
112,adventure,모험,noun,a2,enko,2025-08-04 15:39
113,adverse,불리한,adjective,c1,enko,2025-08-04 15:39
114,advertise,공시 하다,verb,a2,enko,2025-08-04 15:39
115,advertisement,광고,noun,a2,enko,2025-08-04 15:39
116,advertising,광고,noun,a2,enko,2025-08-04 15:39
117,advice,조언,noun,a1,enko,2025-08-04 15:39
118,advise,권하다,verb,b1,enko,2025-08-04 15:39
119,advocate,지지하다,noun,c1,enko,2025-08-04 15:39
120,advocate,지지자,verb,c1,enko,2025-08-04 15:39
121,aesthetic,미적인,adjective,c1,enko,2025-08-04 15:39
122,affair,일,noun,b2,enko,2025-08-04 15:39
123,affect,영향을 미치다,verb,a2,enko,2025-08-04 15:39
124,affection,애정,noun,c1,enko,2025-08-04 15:39
125,afford,여유가 되다,verb,b1,enko,2025-08-04 15:39
126,affordable,입수 가능한,adjective,b2,enko,2025-08-04 15:39
127,afraid,두려워하는,adjective,a1,enko,2025-08-04 15:39
128,after,나중에,adverb,a2,enko,2025-08-04 15:39
129,after,~ 한 후에,conjunction,a2,enko,2025-08-04 15:39
130,after,~ 후에,preposition,a1,enko,2025-08-04 15:39
131,aftermath,여파,noun,c1,enko,2025-08-04 15:39
132,afternoon,오후,noun,a1,enko,2025-08-04 15:39
133,afterwards,나중에,adverb,b2,enko,2025-08-04 15:39
134,again,다시,adverb,a1,enko,2025-08-04 15:39
135,against,~에 맞서,preposition,a2,enko,2025-08-04 15:39
136,age,나이,noun,a1,enko,2025-08-04 15:39
137,age,늙다,verb,b1,enko,2025-08-04 15:39
138,aged,늙은,adjective,b1,enko,2025-08-04 15:39
139,agency,대행사,noun,b2,enko,2025-08-04 15:39
140,agenda,의제,noun,b2,enko,2025-08-04 15:39
141,agent,대리인,noun,b1,enko,2025-08-04 15:39
142,aggression,침략,noun,c1,enko,2025-08-04 15:39
143,aggressive,공격적인,adjective,b2,enko,2025-08-04 15:39
144,ago,~ 전에,adverb,a1,enko,2025-08-04 15:39
145,agree,동의하다,verb,a1,enko,2025-08-04 15:39
146,agreement,합의,noun,b1,enko,2025-08-04 15:39
147,agricultural,농업의,adjective,c1,enko,2025-08-04 15:39
148,agriculture,농업,noun,b2,enko,2025-08-04 15:39
149,ah,아,exclamation,a2,enko,2025-08-04 15:39
150,ahead,앞으로,adverb,b1,enko,2025-08-04 15:39
151,aid,지원,noun,b2,enko,2025-08-04 15:39
152,aid,돕다,verb,b2,enko,2025-08-04 15:39
153,aide,보좌관,noun,c1,enko,2025-08-04 15:39
154,AIDS,에이즈,noun,b2,enko,2025-08-04 15:39
155,aim,목표,noun,b1,enko,2025-08-04 15:39
156,aim,겨누다,verb,b1,enko,2025-08-04 15:39
157,air,공기,noun,a1,enko,2025-08-04 15:39
158,aircraft,항공기,noun,b2,enko,2025-08-04 15:39
159,airline,공기 호스,noun,a2,enko,2025-08-04 15:39
160,airport,공항,noun,a1,enko,2025-08-04 15:39
161,alarm,경보,noun,b1,enko,2025-08-04 15:39
162,alarm,"	놀라게 하다",verb,b2,enko,2025-08-04 15:39
163,albeit,비록 그렇지만,conjunction,c1,enko,2025-08-04 15:39
164,album,앨범,noun,b1,enko,2025-08-04 15:39
165,alcohol,술,noun,b1,enko,2025-08-04 15:39
166,alcoholic,알코올 중독자,adjective,b1,enko,2025-08-04 15:39
167,alert,기민한,adjective,c1,enko,2025-08-04 15:39
168,alert,경고,noun,c1,enko,2025-08-04 15:39
169,alert,알리다,verb,c1,enko,2025-08-04 15:39
170,alien,외국의,adjective,c1,enko,2025-08-04 15:39
171,alien,외계인,noun,b2,enko,2025-08-04 15:39
172,align,맞추다,verb,c1,enko,2025-08-04 15:39
173,alignment,조정,noun,c1,enko,2025-08-04 15:39
174,alike,서로 같은,adjective,c1,enko,2025-08-04 15:39
175,alike,서로 같은,adverb,c1,enko,2025-08-04 15:39
176,alive,살아 있는,adjective,a2,enko,2025-08-04 15:39
177,all,완전히,adverb,a2,enko,2025-08-04 15:39
178,all,모든,determiner,a1,enko,2025-08-04 15:39
179,all,모두,pronoun,a1,enko,2025-08-04 15:39
180,all right,괜찮은,adjective,a2,enko,2025-08-04 15:39
181,all right,잘,adverb,a2,enko,2025-08-04 15:39
182,all right,좋아!,exclamation,a2,enko,2025-08-04 15:39
183,allegation,진술,noun,c1,enko,2025-08-04 15:39
184,allege,주장하다,verb,c1,enko,2025-08-04 15:39
185,allegedly,주장한 바에 의하면,adverb,c1,enko,2025-08-04 15:39
186,alliance,동맹,noun,c1,enko,2025-08-04 15:39
187,allocate,할당하다,verb,c1,enko,2025-08-04 15:39
188,allocation,배당,noun,c1,enko,2025-08-04 15:39
189,allow,허용하다,verb,a2,enko,2025-08-04 15:39
190,allowance,용돈,noun,c1,enko,2025-08-04 15:39
191,ally,동맹국,noun,c1,enko,2025-08-04 15:39
192,almost,거의,adverb,a2,enko,2025-08-04 15:39
193,alone,혼자인,adjective,a2,enko,2025-08-04 15:39
194,alone,홀로,adverb,a2,enko,2025-08-04 15:39
